RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
251,0,46404,Marcus Kinhult,72,72
251,0,29675,Dan McCarthy,72,72
251,0,24490,George McNeill,72,72
251,0,06373,JosÃ© MarÃ­a OlazÃ¡bal,72,72
251,0,30756,Andrea Pavan,72,72
251,0,63568,Calum Scott,72,72
251,0,65496,Cole Sherwood,72,72
266,0,25686,Jason Dufner,71,37
266,0,01810,Phil Mickelson,71,8
268,0,27141,J.B. Holmes,70,7
268,0,27974,Sung Kang,70,9
268,0,54621,Kazuma Kobori,70,1
268,0,46405,Sebastian Soderberg,70,70
268,0,50584,Connor Syme,70,70
273,0,55721,Alex Fitzpatrick,69,1
273,0,33410,Andrew Landry,69,69
273,0,48640,Johannes Veerman,69,69
276,0,61520,Santiago de la Fuente,68,24
276,0,27747,Hiroshi Iwata,68,68
276,0,57869,Ben James,68,7
276,0,54869,Chase Johnson,68,47
276,0,61193,David Puig,68,38
281,0,54218,Yuta Sugiura,67,67
282,0,66742,Jackson Buchanan,66,66
283,0,48001,Zach Bauchou,65,65
283,0,59570,Tyler Collet,65,37
283,0,60895,Kris Kim,65,6
283,0,54190,Richard Mansell,65,27
287,0,46594,Ricardo Gouveia,64,7
287,0,54422,Christo Lamprecht,64,12
287,0,55420,Cooper Musselman,64,0
287,0,34431,Robert Streb,64,24
287,0,59827,Tom Vaillant,64,7
292,0,55074,Sebastian Friedrichsen,63,5
292,0,30750,Tommy Gainey,63,4
292,0,35901,Paul Haley II,63,19
292,0,36824,Paul Peterson,63,4
296,0,24671,David Bradshaw,62,24
296,0,45486,Joaquin Niemann,62,46
298,0,57123,Steven Fisk,61,1
298,0,64594,Angel Hidalgo Portillo,61,61
298,0,47888,Taiga Semikawa,61,19
298,0,08793,Tiger Woods,61,16
302,0,39436,Joshua Creel,60,3
302,0,49813,Daniel Hillier,60,8
302,0,32775,Shugo Imahira,60,11
302,0,47917,Takumi Kanaya,60,18
302,0,34500,Ryosuke Kinoshita,60,60
