YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2014,0,22621,Ben Curtis,+.220
2014,0,20498,Briny Baird,+.222
2014,0,24507,Jason Bohn,+.222
2014,0,20848,Ángel Cabrera,+.222
2014,0,25240,D.A. Points,+.225
2014,0,26758,David Hearn,+.226
2014,0,26300,Matt Jones,+.231
2014,0,26329,Louis Oosthuizen,+.231
2014,0,22378,Trevor Immelman,+.232
2014,0,22913,John Rollins,+.233
2014,0,35139,Richard Lee,+.235
2014,0,33419,Cameron Tringale,+.235
2014,0,25632,Jimmy Walker,+.238
2014,0,27436,Graham DeLaet,+.241
2014,0,30692,Scott Stallings,+.241
2014,0,23135,Tim Clark,+.242
2014,0,30927,Brendon Todd,+.242
2014,0,28780,Nicholas Thompson,+.244
2014,0,28307,Matt Every,+.245
2014,0,24924,Bill Haas,+.245
2014,0,20593,Greg Chalmers,+.246
2014,0,25686,Jason Dufner,+.250
2014,0,34099,Harris English,+.250
2014,0,27644,Brian Harman,+.250
2014,0,21528,Henrik Stenson,+.250
2014,0,27141,J.B. Holmes,+.255
2014,0,29926,Danny Lee,+.255
2014,0,34046,Jordan Spieth,+.255
2014,0,30110,Kyle Stanley,+.263
2014,0,21753,Brian Davis,+.267
2014,0,20157,Retief Goosen,+.267
2014,0,32640,Troy Merritt,+.267
2014,0,35541,John Peterson,+.267
2014,0,24846,Ricky Barnes,+.268
2014,0,27214,Kevin Streelman,+.273
2014,0,25345,Carl Pettersson,+.274
2014,0,25834,Daniel Summerhays,+.279
2014,0,28486,Michael Putnam,+.284
2014,0,24925,Jonathan Byrd,+.286
2014,0,25720,Chad Collins,+.286
2014,0,29740,Brad Fritsch,+.286
2014,0,29478,Kevin Kisner,+.286
2014,0,32200,Roberto Castro,+.290
2014,0,27120,Troy Matteson,+.290
2014,0,27770,Camilo Villegas,+.291
2014,0,23541,Ben Crane,+.293
2014,0,26851,Marc Leishman,+.293
2014,0,23353,J.J. Henry,+.295
2014,0,32102,Rickie Fowler,+.302
2014,0,25364,Paul Casey,+.304
2014,0,32366,Kevin Chappell,+.304
2014,0,26289,Boo Weekley,+.304
2014,0,20098,Stuart Appleby,+.306
2014,0,29420,Billy Horschel,+.308
2014,0,22293,Heath Slocum,+.308
2014,0,24663,Y.E. Yang,+.308
2014,0,24494,Erik Compton,+.310
2014,0,34098,Russell Henley,+.311
2014,0,22405,Justin Rose,+.311
2014,0,10809,Jim Furyk,+.316
2014,0,1810,Phil Mickelson,+.317
2014,0,31202,William McGirt,+.320
2014,0,29425,Andrew Svoboda,+.324
2014,0,28089,Jason Day,+.333
2014,0,27936,Martin Laird,+.333
2014,0,31323,Gary Woodland,+.333
2014,0,20104,Ken Duke,+.342
2014,0,25444,Justin Hicks,+.342
2014,0,30750,Tommy Gainey,+.344
2014,0,32839,Hideki Matsuyama,+.347
2014,0,25572,Graeme McDowell,+.348
2014,0,26956,Bronson La'Cassie,+.350
2014,0,25562,Andres Romero,+.350
2014,0,23983,Luke Donald,+.353
2014,0,24781,Hunter Mahan,+.359
2014,0,10860,Justin Leonard,+.362
2014,0,33122,Russell Knox,+.364
2014,0,23409,James Driscoll,+.368
2014,0,27933,John Merrick,+.375
2014,0,26951,Johnson Wagner,+.381
2014,0,2206,David Toms,+.385
2014,0,28259,Sangmoon Bae,+.389
2014,0,27963,Chris Stroud,+.389
2014,0,1724,Jeff Maggert,+.391
2014,0,31193,Jim Renner,+.395
2014,0,34021,Bud Cauley,+.400
2014,0,34409,David Lingmerth,+.400
2014,0,22046,Geoff Ogilvy,+.400
2014,0,6567,Vijay Singh,+.400
2014,0,24912,Will MacKenzie,+.404
2014,0,34265,Will Wilcox,+.409
2014,0,7867,Woody Austin,+.415
2014,0,35732,Wes Roach,+.421
2014,0,20396,Lee Westwood,+.423
2014,0,23621,Rory Sabbatini,+.435
2014,0,32334,Charlie Beljan,+.438
2014,0,21878,Mark Wilson,+.438
2014,0,28092,D.H. Lee,+.455
2014,0,34174,John Huh,+.475
2014,0,30852,Ryo Ishikawa,+.475
2014,0,27408,Martin Kaymer,+.480
2013,0,33461,Morgan Hoffmann,-.032
2013,0,27129,Luke List,-.029
2013,0,24358,Robert Garrigus,E
2013,0,27120,Troy Matteson,E
2013,0,25818,Scott Piercy,E
2013,0,22405,Justin Rose,E
2013,0,25632,Jimmy Walker,+.020
2013,0,21209,Sergio Garcia,+.031
2013,0,31557,Jim Herman,+.043
2013,0,33869,Eric Meierdierks,+.043
2013,0,1810,Phil Mickelson,+.050
2013,0,1116,Michael Bradley,+.054
2013,0,29420,Billy Horschel,+.054
2013,0,21961,Charles Howell III,+.056
2013,0,23788,D.J. Trahan,+.056
2013,0,6522,Ernie Els,+.077
2013,0,32366,Kevin Chappell,+.085
2013,0,34046,Jordan Spieth,+.087
