YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2022,39,0,57366,Cameron Young,15.84,101,16.0
2022,40,0,27129,Luke List,15.66,83,13.0
2022,41,0,35450,Patrick Cantlay,15.58,77,12.0
2022,41,0,48887,Matt Wallace,15.58,77,12.0
2022,43,0,34363,Tyrrell Hatton,15.52,58,9.0
2022,44,0,29725,Tony Finau,15.45,123,19.0
2022,44,0,32791,K.H. Lee,15.45,110,17.0
2022,46,0,31646,Emiliano Grillo,15.38,117,18.0
2022,47,0,32640,Troy Merritt,15.32,111,17.0
2022,48,0,36852,Jim Knous,15.22,46,7.0
2022,49,0,33597,Harry Higgs,15.05,93,14.0
2022,50,0,54783,Dylan Wu,14.93,67,10.0
2022,51,0,33141,Keegan Bradley,14.89,94,14.0
2022,52,0,37455,Si Woo Kim,14.88,121,18.0
2022,53,0,48081,Xander Schauffele,14.86,74,11.0
2022,54,0,40162,Justin Lower,14.81,81,12.0
2022,55,0,51890,Greyson Sigg,14.78,115,17.0
2022,56,0,33486,Roger Sloan,14.77,88,13.0
2022,56,0,37189,Harold Varner III,14.77,88,13.0
2022,58,0,28114,Dawie van der Walt,14.75,61,9.0
2022,59,0,29289,S.Y. Noh,14.71,68,10.0
2022,60,0,30692,Scott Stallings,14.68,109,16.0
2022,61,0,34264,Hudson Swafford,14.47,76,11.0
2022,62,0,36699,Patrick Rodgers,14.15,106,15.0
2022,63,0,29535,Brice Garnett,14.12,85,12.0
2022,64,0,46402,Talor Gooch,14.06,64,9.0
2022,65,0,32816,Satoshi Kodaira,14.04,57,8.0
2022,66,0,47993,Denny McCarthy,13.99,143,20.0
2022,67,0,46717,Viktor Hovland,13.98,93,13.0
2022,68,0,36689,Brooks Koepka,13.85,65,9.0
2022,69,0,27974,Sung Kang,13.83,94,13.0
2022,70,0,46970,Jon Rahm,13.79,87,12.0
2022,70,0,51634,Sahith Theegala,13.79,116,16.0
2022,72,0,24980,Scott Gutschewski,13.7,73,10.0
2022,72,0,52374,Brandon Wu,13.7,73,10.0
2022,74,0,55708,Hayden Buckley,13.6,125,17.0
2022,75,0,23983,Luke Donald,13.58,81,11.0
2022,75,0,31420,Anirban Lahiri,13.58,81,11.0
2022,75,0,47983,Chad Ramey,13.58,81,11.0
2022,78,0,24361,Pat Perez,13.51,74,10.0
2022,79,0,30927,Brendon Todd,13.48,89,12.0
2022,80,0,25686,Jason Dufner,13.46,52,7.0
2022,81,0,33448,Justin Thomas,13.41,82,11.0
2022,82,0,35506,Mackenzie Hughes,13.33,90,12.0
2022,82,0,49947,Taylor Moore,13.33,135,18.0
2022,82,0,46340,Alex Smalley,13.33,120,16.0
