YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2024,23,0,51950,Max McGreevy,$189918,189918,0.0
2024,24,0,52686,Rasmus Hojgaard,$172766,172766,0.0
2024,25,0,39335,Kevin Roy,$166740,166740,0.0
2024,26,0,50223,Ewen Ferguson,$151067,151067,0.0
2024,27,0,39262,Alvaro Ortiz,$145125,145125,0.0
2024,28,0,60369,Sam Bairstow,$139740,139740,0.0
2024,29,0,30925,Dustin Johnson,$139189,139189,0.0
2024,30,0,50762,Alejandro Del Rey,$130800,130800,0.0
2024,30,0,35706,Niklas Norgaard,$130800,130800,0.0
2024,30,0,50584,Connor Syme,$130800,130800,0.0
2024,33,0,34362,Laurie Canter,$124617,124617,0.0
2024,33,0,37094,Joseph Dean,$124617,124617,0.0
2024,35,0,66583,Taisei Shimizu,$121210,121210,0.0
2024,36,0,59018,Ryan Gerard,$120600,120600,0.0
2024,37,0,1810,Phil Mickelson,$113325,113325,0.0
2024,38,0,50823,Tom McKibbin,$112585,112585,0.0
2024,39,0,30957,Max Kieffer,$111050,111050,0.0
2024,40,0,56781,Isaiah Salinda,$110894,110894,0.0
2024,41,0,55721,Alex Fitzpatrick,$100670,100670,0.0
2024,42,0,35296,Haotong Li,$97650,97650,0.0
2024,43,0,37428,Evan Harmeling,$97000,97000,0.0
2024,44,0,48632,Yuto Katsuragawa,$95579,95579,0.0
2024,45,0,48640,Johannes Veerman,$93000,93000,0.0
2024,46,0,50323,Minkyu Kim,$90220,90220,0.0
2024,46,0,39834,Guido Migliozzi,$90220,90220,0.0
2024,48,0,57586,Jesper Svensson,$89377,89377,0.0
2024,49,0,32344,Lukas Nemecz,$88632,88632,0.0
2024,50,0,34371,Adrien Saddier,$87800,87800,0.0
2024,51,0,63454,Johnny Keefer,$86515,86515,0.0
2024,52,0,55930,Fred Biondi,$81540,81540,0.0
2024,53,0,56100,Ren Yonezawa,$79560,79560,0.0
2024,54,0,54422,Christo Lamprecht,$76674,76674,0.0
2024,55,0,57737,Jayden Schaper,$76000,76000,0.0
2024,56,0,48052,Max Rottluff,$74400,74400,0.0
2024,57,0,51661,Nick Bachem,$73350,73350,0.0
2024,57,0,48051,Yannik Paul,$73350,73350,0.0
2024,57,0,46646,Antoine Rozner,$73350,73350,0.0
2024,60,0,49590,Frankie Capan III,$72305,72305,0.0
2024,60,0,50474,Tim Widing,$72305,72305,0.0
2024,62,0,60065,Ryan Hall,$68020,68020,0.0
2024,63,0,46464,Jordan Smith,$66848,66848,0.0
2024,64,0,27408,Martin Kaymer,$64715,64715,0.0
2024,65,0,36824,Paul Peterson,$63460,63460,0.0
2024,66,0,46368,Stuart Macdonald,$61695,61695,0.0
2024,67,0,23481,Marcel Siem,$61605,61605,0.0
2024,68,0,64594,Angel Hidalgo Portillo,$61000,61000,0.0
2024,68,0,35314,Andy Sullivan,$61000,61000,0.0
2024,70,0,58359,Mitchell Schow,$59000,59000,0.0
2024,71,0,59652,Sam Bennett,$57748,57748,0.0
2024,72,0,34500,Ryosuke Kinoshita,$57035,57035,0.0
2024,73,0,36852,Jim Knous,$53000,53000,0.0
2024,74,0,54869,Chase Johnson,$51000,51000,0.0
2024,75,0,39058,Lucas Herbert,$48969,48969,0.0
